window_index,window_start,window_end,sindy_valid_time,sindy_first_invalid_time,encoder_valid_time,encoder_rollout_valid_time,decoder_error,active_terms,sparsity_percent,solver_success,rollout_success,used_fallback,used_steps,rollout_status,run_dir,model,threshold,ridge_alpha,refit_train_mse,refit_active_terms,refit_sparsity_percent
0,25000,26000,7.6000000000000005,7.7,99.9,99.9,0.004836867097765207,292,18.88888888888889,True,True,False,1000,complete_solver_success,final_thesis_package_v001/results/01_ae_sindy/latent8_trial014_posthoc_thr0025_predictive/latent8_trial014/thr_0p025/window_00_25000_26000,latent8_trial014,0.025,0.001,0.0003019851840719146,292,18.88888888888889
1,26000,27000,10.5,10.600000000000001,99.9,99.9,0.005319506861269474,292,18.88888888888889,True,True,False,1000,complete_solver_success,final_thesis_package_v001/results/01_ae_sindy/latent8_trial014_posthoc_thr0025_predictive/latent8_trial014/thr_0p025/window_01_26000_27000,latent8_trial014,0.025,0.001,0.0003019851840719146,292,18.88888888888889
2,27000,28000,19.5,19.6,99.9,99.9,0.004533156752586365,292,18.88888888888889,True,True,False,1000,complete_solver_success,final_thesis_package_v001/results/01_ae_sindy/latent8_trial014_posthoc_thr0025_predictive/latent8_trial014/thr_0p025/window_02_27000_28000,latent8_trial014,0.025,0.001,0.0003019851840719146,292,18.88888888888889
3,28000,29000,11.5,11.600000000000001,99.9,99.9,0.008020755834877491,292,18.88888888888889,True,True,False,1000,complete_solver_success,final_thesis_package_v001/results/01_ae_sindy/latent8_trial014_posthoc_thr0025_predictive/latent8_trial014/thr_0p025/window_03_28000_29000,latent8_trial014,0.025,0.001,0.0003019851840719146,292,18.88888888888889
4,29000,30000,5.2,5.300000000000001,99.9,99.9,0.006181695032864809,292,18.88888888888889,True,True,False,1000,complete_solver_success,final_thesis_package_v001/results/01_ae_sindy/latent8_trial014_posthoc_thr0025_predictive/latent8_trial014/thr_0p025/window_04_29000_30000,latent8_trial014,0.025,0.001,0.0003019851840719146,292,18.88888888888889
