epoch,loss_total,loss_data,loss_multistep,loss_physics
1.0,0.004409607662819326,0.0007054260636020142,0.003519322214803348,8563.141251627605
2.0,0.001991537316159035,0.0004133970888991219,0.002060719051708778,228.8282012939453
3.0,0.0018178353027906268,0.00037825690475680555,0.0018809597240760922,201.58992538452148
4.0,0.0015624338101285198,0.00032278217865192954,0.0016083535893509785,242.9212496439616
5.0,0.0013154483807738871,0.00027115340029316336,0.0013489098967208216,241.0871721903483
6.0,0.0011042370460927486,0.00022881187809010347,0.0011371430126018822,163.35119641621907
7.0,0.0008939421454366918,0.0001862217402958777,0.0009223359452638154,113.57101860046387
8.0,0.0007498414575820789,0.00015674711006189075,0.0007779693677245329,64.5983730951945
9.0,0.0006165695531914632,0.000129300172557123,0.0006405228055276287,44.75480734507243
10.0,0.0005106696766839984,0.00010726177072986806,0.0005305011378368363,35.739684168497725
11.0,0.00046353312015223004,9.767022614444916e-05,0.00048139530117623507,30.782684135437012
12.0,0.0004115120876425256,8.668716945976484e-05,0.00042702848392461114,29.582840061187746
13.0,0.00037128558857754494,7.826093812279093e-05,0.0003848770279243278,28.791256109873455
14.0,0.00031051765399752184,6.542695349101754e-05,0.0003220363796572201,23.35766903559367
15.0,0.00028782431206006247,6.074603910140771e-05,0.00029865276810596696,19.912401485443116
16.0,0.00026495181688612014,5.59910990583982e-05,0.00027476975810714066,18.657772922515868
17.0,0.00023136476568955306,4.893875235817783e-05,0.0002397687475119407,16.95618054072062
18.0,0.0002166937474006166,4.5931537169963124e-05,0.00022458010716945863,15.01012201309204
19.0,0.0002069782550582507,4.384359453979414e-05,0.00021452858248570313,14.461832761764526
20.0,0.0002088674724897525,4.4187316719520214e-05,0.00021669578879179123,13.777561966578165
21.0,0.000190994503160861,4.049182240729958e-05,0.00019803434139854895,12.627353111902872
22.0,0.00017269308324709224,3.6603209082386456e-05,0.00017900394547420244,11.818602927525838
23.0,0.00015381944928473482,3.259092045482248e-05,0.00015936029667500405,11.112664540608725
24.0,0.00015040620686098313,3.188075782721474e-05,0.0001557524168068388,11.197251510620116
25.0,0.00013764119260789204,2.9237589327143117e-05,0.00014252957577506702,9.765166759490967
26.0,0.00013665508098104813,2.8982697161457813e-05,0.000141596379277568,9.527428595225016
27.0,0.00013159558075130916,2.79396947917121e-05,0.00013626286017824895,9.486101579666137
28.0,0.00011780778974449883,2.4991257062841518e-05,0.00012186831469686391,9.380231030782063
29.0,0.00011624567050603219,2.464058361510979e-05,0.00012030606752280923,9.084888799985249
30.0,0.00010767283965833485,2.285602849951829e-05,0.00011151127667593148,7.678646906216939
31.0,0.00012297548904219486,2.6129961618911086e-05,0.00012737940220783155,8.441104531288147
32.0,0.00010667900957438785,2.2632173568126746e-05,0.00011034651555140348,8.537602098782857
33.0,9.3922646556166e-05,1.9918143789254827e-05,9.706403337380227e-05,8.112829327583313
34.0,0.00010193547823291737,2.1666424405945387e-05,0.00010554680484347046,7.177950668334961
35.0,0.00010100872447461976,2.1469893241980267e-05,0.00010465544704250836,6.6934301376342775
36.0,8.678795323551943e-05,1.846507999895645e-05,8.970922499429435e-05,6.897906859715779
37.0,8.832273888401688e-05,1.881336170299619e-05,9.135905759952342e-05,6.457704981168111
38.0,9.417818691872525e-05,1.9999904391928188e-05,9.749444955862904e-05,6.898420286178589
39.0,9.058767779303404e-05,1.9233640493136288e-05,9.380340052302926e-05,6.508269651730855
40.0,9.647989099903498e-05,2.0535131049352155e-05,9.994113097491208e-05,6.301532793045044
41.0,8.248571927348773e-05,1.7506594167571167e-05,8.539245900465175e-05,6.111741216977437
42.0,7.995739833859261e-05,1.6976607563871465e-05,8.271642230586926e-05,6.227886509895325
43.0,7.354538095872461e-05,1.565417557382413e-05,7.608009733909664e-05,5.4314069747924805
44.0,7.099280204177678e-05,1.511711927075036e-05,7.34778353338091e-05,4.958932328224182
45.0,7.448891337844544e-05,1.5834087131831136e-05,7.71029229023649e-05,5.3855901002883915
46.0,7.256093510174347e-05,1.5429090884329828e-05,7.505365653438881e-05,5.5337486743927
47.0,7.272979370706404e-05,1.5439993179218923e-05,7.521501926627631e-05,5.830125069618225
48.0,7.811567854029514e-05,1.665541039983509e-05,8.080794923444045e-05,5.538302652041117
49.0,7.538272026674046e-05,1.608586320192747e-05,7.802078010475574e-05,4.994401276111603
50.0,6.381792366786007e-05,1.3612827706310781e-05,6.593295553708837e-05,4.991269493103028
51.0,6.471303652991386e-05,1.3808052123446639e-05,6.692174756608437e-05,4.636587333679199
52.0,6.351567590172636e-05,1.3547968668111329e-05,6.573051529509636e-05,4.301768179734548
53.0,6.507905121300913e-05,1.383846054826184e-05,6.737839788305185e-05,4.573047928015391
54.0,5.856922962266253e-05,1.2496106304145845e-05,6.053937340766424e-05,4.380539826552073
55.0,5.8201328162491946e-05,1.2394514806146617e-05,6.019538498852247e-05,4.319042976697286
