model_id,family,data_mode,candidate_rank,source_optimizer,source_trial,seed,valid_relative_l2_horizon_time,valid_relative_l2_mean,finite_relative_l2_fraction
perc_full64,perc,full64,5,gp,61,9403105,26.5,1.1754719402666205,0.8834343434343435
perc_full64,perc,full64,5,gp,61,9403106,26.1,1.2346319906363905,0.6498989898989899
perc_full64,perc,full64,5,gp,61,9403107,24.6,1.3626497839499097,1.0
perc_full64,perc,full64,5,gp,61,9403108,24.4,1.3840564910764797,1.0
perc_full64,perc,full64,5,gp,61,9403109,24.3,1.319955142493641,1.0
perc_full64,perc,full64,5,gp,61,9403110,25.4,1.2768113884577563,1.0
perc_full64,perc,full64,5,gp,61,9403111,23.4,1.320788252159666,1.0
perc_full64,perc,full64,5,gp,61,9403112,24.3,1.2040355364963724,0.2193939393939394
perc_full64,perc,full64,5,gp,61,9403113,23.4,1.2889428499144024,0.2985858585858585
perc_full64,perc,full64,5,gp,61,9403114,38.6,1.3310630574010744,1.0
perc_full64,perc,full64,5,gp,61,9403115,26.4,1.2903495882695248,1.0
perc_full64,perc,full64,6,forest,39,9403101,21.4,1.3767571631954507,1.0
perc_full64,perc,full64,6,forest,39,9403102,21.0,1.0885209830039348,0.2684848484848485
perc_full64,perc,full64,6,forest,39,9403103,27.0,1.2274731379818915,1.0
perc_full64,perc,full64,6,forest,39,9403104,24.4,1.2914854882957671,1.0
perc_full64,perc,full64,6,forest,39,9403105,26.3,1.316430633600437,0.7947474747474748
perc_full64,perc,full64,6,forest,39,9403106,27.4,1.2045564878079904,1.0
perc_full64,perc,full64,6,forest,39,9403107,20.1,1.2458749563892344,1.0
perc_full64,perc,full64,6,forest,39,9403108,23.6,1.3985473054577713,0.4509090909090909
perc_full64,perc,full64,6,forest,39,9403109,23.6,1.3335969676817407,1.0
perc_full64,perc,full64,6,forest,39,9403110,24.9,1.3400800030345372,0.4836363636363636
perc_full64,perc,full64,6,forest,39,9403111,23.6,1.4007217609538287,1.0
perc_full64,perc,full64,6,forest,39,9403112,21.1,1.3515454795504334,1.0
perc_full64,perc,full64,6,forest,39,9403113,25.5,1.3576833291560777,1.0
perc_full64,perc,full64,6,forest,39,9403114,24.4,1.0215686387222402,0.1836363636363636
perc_full64,perc,full64,6,forest,39,9403115,22.0,1.3629515249114523,1.0
perc_full64,perc,full64,7,forest,46,9403101,25.0,1.3812017683851312,1.0
perc_full64,perc,full64,7,forest,46,9403102,27.1,1.25096342471195,1.0
perc_full64,perc,full64,7,forest,46,9403103,25.6,1.056495782333451,0.616969696969697
perc_full64,perc,full64,7,forest,46,9403104,24.8,1.40578784302642,0.8658585858585859
perc_full64,perc,full64,7,forest,46,9403105,25.700000000000003,1.2169036098631467,1.0
perc_full64,perc,full64,7,forest,46,9403106,64.3,1.2464318285683285,1.0
perc_full64,perc,full64,7,forest,46,9403107,23.9,1.1642252832127649,0.2092929292929292
perc_full64,perc,full64,7,forest,46,9403108,23.9,1.4412142040174991,1.0
perc_full64,perc,full64,7,forest,46,9403109,23.6,1.2693616785199198,0.2177777777777777
