model_id,selected_candidate_rank,source_optimizer,source_trial,selected_median_valid_h,selected_mean_valid_h,selected_min_valid_h,selected_max_valid_h,selected_std_valid_h,selected_finite_fraction_median,representative_seed,representative_seed_valid_h,representative_seed_abs_diff_from_median,representative_seed_valid_mean,representative_seed_finite_fraction,luckiest_seed_valid_h,representative_is_luckiest,selected_source_config,recovery_method
rc_full64,7,forest,78,24.400000000000002,24.38666666666667,19.900000000000002,32.0,3.0075777312521463,0.6105050505050506,9403115,24.400000000000002,0.0,0.6960914462793711,0.10868686868686869,32.0,False,RECONSTRUCTED::rc_full64_optimizer_search_v002_forest_trial0078_n3000_sr0p29083981820376437_in0p04156574803182547_leak0p45063817331469014_ridge1p321832282188926em05_w50,run_id_reconstruction
rc_latent8,2,forest,54,20.0,19.713333333333335,13.8,26.1,4.051960137067115,1.0,9403102,20.0,0.0,1.419526668301451,0.5897959183673469,26.1,False,RECONSTRUCTED::rc_latent8_optimizer_search_v002_forest_trial0054_n1500_sr0p08167511252434739_in0p12866768136520199_leak0p7445868956948865_ridge0p058021497665977535_w100,run_id_reconstruction
perc_full64,7,forest,46,25.6,29.500000000000004,23.6,64.3,10.846592618355842,1.0,9403103,25.6,0.0,1.0564957823334513,0.616969696969697,64.3,False,RECONSTRUCTED::perc_full64_optimizer_search_v003_forest_trial0046_n3000_sr0p21576753604097568_in0p030907865903607414_leak0p5867641768355315_ridge2p338121523722021em06_w50,run_id_reconstruction
perc_latent8,6,gp,38,16.2,13.873333333333333,6.800000000000001,20.6,4.58436265498062,0.14747474747474748,9403113,16.2,0.0,0.7010304289698915,0.07434343434343435,20.6,False,experiments/forecasting/perc/search/optimizer/perc_latent8_optimizer_search_v002/gp/perc_latent8_optimizer_search_v002_gp_trial0038_n750_sr0p12700546538457844_in0p038122494340160316_leak0p16196401354959583_ridge7p20809420624489em05_w50/config_resolved.json,config_resolved
pinn_latent8,2,gbrt,49,10.4,11.713333333333333,7.6000000000000005,20.5,3.504663559696803,0.5028,9403108,10.4,0.0,6.099860668182373,0.3296,20.5,False,experiments/forecasting/pinn/search/optimizer/pinn_latent8_optimizer_search_v001/gbrt/pinn_latent8_optimizer_search_v001_gbrt_trial0049_h224_d4_lr0p000359_mh9_b0p672_lam8p95em08_ep120/config_resolved.json,config_resolved
pinn_full64,5,dummy,47,19.8,17.293333333333333,8.5,23.1,4.634878125484557,0.0946,9301114,19.8,0.0,59.863956451416016,0.0858,23.1,False,experiments/pinn_full64_physics_active_work/p3_search/attempts/attempt01/dummy/pinn/search/optimizer/pinn_full64_v003_physics_active_p3_dummy_attempt01/dummy/pinn_full64_v003_physics_active_p3_dummy_attempt01_dummy_trial0047_h512_d4_lr0p00033266127695166006_mh3_b0p7521100511934925_lam1p2346683760352606em07/config_resolved.json,config_resolved
