epoch,loss_total,loss_data,loss_multistep,loss_physics
1.0,0.021083476611723502,0.0006904211545285459,0.029694325725237527,4893.070914713541
2.0,0.011286609588811796,0.0003632903555020069,0.015583056677132844,5040.924755859375
3.0,0.008553515219440063,0.0002729748506681062,0.011659197695553302,4975.132503255209
4.0,0.007425113953649998,0.00023734852099247897,0.010025842441245913,5029.453629557292
5.0,0.006191880923385421,0.0001952336645141865,0.008263016756003102,4957.134798177083
6.0,0.005550731144224604,0.00017321129465320458,0.007343294812987248,4945.279996744792
7.0,0.004908521380275488,0.00015212486226422092,0.00641171052120626,5000.176985677083
8.0,0.004252391665553053,0.0001307406106207054,0.005464839469641447,5017.661295572917
9.0,0.003929672910210987,0.00011889327288372442,0.004991966765373945,5094.79931640625
10.0,0.003663524597262343,0.00011017223005183041,0.0046171291420857115,5033.016487630209
11.0,0.003276489170578619,9.687836063676514e-05,0.004061956400983035,5025.671207682291
12.0,0.0030836370618393025,9.173880680464208e-05,0.0037888545853396256,4978.931559244792
13.0,0.0026692799913386506,7.713518377083043e-05,0.0031978742762779197,4949.819189453125
14.0,0.0027781775376449027,8.098686715432754e-05,0.003349416819401085,4985.643359375
15.0,0.002684750858073433,7.724733865567638e-05,0.003197597712278366,5123.455029296875
16.0,0.0025353675863395136,7.329098856037794e-05,0.002994406650153299,5024.267529296875
17.0,0.0025806076747054854,7.371529354713858e-05,0.003051866559932629,5093.544173177083
18.0,0.002368239848874509,6.697579350050849e-05,0.0027538694208487867,5033.559781901042
19.0,0.0022149798382694523,6.14775261055911e-05,0.0025415271675835053,4976.985823567708
20.0,0.0020915726626602313,5.738391688889048e-05,0.002357576973736286,5025.057275390625
21.0,0.001985787390731275,5.381118098739535e-05,0.00221931835791717,4921.165999348958
22.0,0.002016026076550285,5.448405075488457e-05,0.00224387722943599,5067.069710286459
23.0,0.001995610969606787,5.396225509078552e-05,0.00221757817780599,5042.272037760416
24.0,0.0018238949007354677,4.826214329417174e-05,0.001986146423344811,4925.090950520834
25.0,0.0018126601857754092,4.792858865888168e-05,0.001960141440698256,4998.530126953125
26.0,0.0017593828223956129,4.5907116752156675e-05,0.0018865724870314202,4978.239241536458
27.0,0.00174069341737777,4.52580916316947e-05,0.0018496403664660952,5053.956787109375
28.0,0.0017566521419212222,4.577603516130087e-05,0.0018779246097741027,5014.116796875
29.0,0.0017197798394287627,4.466233828376668e-05,0.0018259293710192045,5004.990022786458
30.0,0.0016204894054681063,4.073834934388287e-05,0.0016725391421156626,5091.156298828125
31.0,0.0015518842342620094,3.86927333844748e-05,0.0015751841943711042,5078.470930989583
32.0,0.0015770208672620356,4.017002538603265e-05,0.0016182055464014412,5019.809407552083
33.0,0.0015497009851969778,3.882740165863652e-05,0.001575433590915054,5050.707291666667
34.0,0.0016501940554007888,4.2744597764491724e-05,0.001735436578746885,4928.41162109375
35.0,0.0014624254234756032,3.560095204496368e-05,0.001454936247318983,5016.379117838542
36.0,0.0014428772653142612,3.488076332966254e-05,0.0014300389331765473,4992.959456380208
37.0,0.001418901770375669,3.470374819395753e-05,0.0013985097485904893,4963.800667317709
38.0,0.0014115100842900575,3.399992989822446e-05,0.0013843702773253122,4995.234163411458
39.0,0.0014033724282247325,3.344107359832075e-05,0.0013618875993415714,5079.344319661458
40.0,0.0013725588253388802,3.3127742002155475e-05,0.001329295861069113,4983.301399739584
41.0,0.0013622386381030084,3.2382760158119105e-05,0.0013144892795632283,4987.490218098958
42.0,0.0013745968385289113,3.3081906561468104e-05,0.0013367320643737912,4950.758154296875
43.0,0.0013082118433279295,3.053942940217288e-05,0.0012297501399492225,5040.687711588542
44.0,0.0013526273580888907,3.150720779861634e-05,0.001284044635637353,5118.443961588541
45.0,0.001360336128467073,3.2139424304962935e-05,0.0012900958769023418,5152.066617838542
46.0,0.0013410291828525563,3.1340883530598755e-05,0.0012720764886277418,5080.58740234375
47.0,0.0012852463987655938,2.980644094350282e-05,0.0012009011775565644,5008.902457682291
48.0,0.0012235862862629194,2.7496278319934694e-05,0.0011095778706173103,5031.472884114583
49.0,0.0011875760663921633,2.6145021426297414e-05,0.001062236635092025,4999.693961588541
50.0,0.0012141885662761828,2.7294015671941453e-05,0.001100087344336013,4999.998876953125
51.0,0.0012289537582546473,2.7834369393531234e-05,0.0011258606294480462,4965.425276692708
52.0,0.0011379316876021525,2.465334594792997e-05,0.0009866028965916484,5029.565771484375
53.0,0.0011368782298328975,2.4291772145564513e-05,0.0009853231992262106,5031.443619791667
54.0,0.0012005499214865268,2.6702473527014566e-05,0.0010743494688843687,5047.4623046875
55.0,0.0012779905111528933,2.9210059316634822e-05,0.0011758176396445682,5122.804768880208
56.0,0.0012192797614261508,2.7500764493500657e-05,0.0011073027718036125,5000.396354166666
57.0,0.001195439447959264,2.6561796706422076e-05,0.0010606048648090411,5095.122884114583
58.0,0.0012462766103756924,2.802427231169228e-05,0.0011340253481951852,5095.514811197917
59.0,0.0011729428583445649,2.5591756396655305e-05,0.0010406322680258503,5004.592220052084
60.0,0.00109303766512312,2.3289027922146488e-05,0.000931821121290947,4954.551595052083
61.0,0.0011363333440385758,2.4657694120833183e-05,0.0009840169203622887,5031.075016276041
62.0,0.0011447249911725522,2.47578571967703e-05,0.0009918742541534205,5064.711376953125
63.0,0.0011150380266675105,2.340035407542018e-05,0.0009469975271107008,5085.134016927083
64.0,0.001051783284250026,2.1160941893564694e-05,0.0008514726612096032,5120.641243489584
65.0,0.0010361116379499435,2.062802668660879e-05,0.00083342024202769,5087.049658203125
66.0,0.0010710340749938041,2.1757366327316655e-05,0.0008864881820045412,5066.169140625
67.0,0.0011372416474235555,2.3985668485693167e-05,0.0009788667414492617,5087.387646484375
68.0,0.001089321142838647,2.256611769553274e-05,0.0009103344481748839,5082.402490234375
69.0,0.0010290262774409105,2.0660092074346417e-05,0.0008251918518605331,5069.313216145833
